id,ruolo,nome,squadra,qta,fvm
p_malen,?,Malen,ROM,37.0,445.0
p_martinez_l,?,Martinez L.,INT,35.0,390.0
p_dimarco,?,Dimarco,INT,31.0,250.0
p_paz_n,A,Paz N.,COM,30.0,250.0
p_hojlund,?,Hojlund,NAP,29.0,285.0
p_calhanoglu,C,Calhanoglu,INT,28.0,242.0
p_thuram,?,Thuram,INT,28.0,260.0
p_ramos_g,?,Ramos G.,MIL,27.0,232.0
p_mctominay,C,McTominay,NAP,26.0,190.0
p_orsolini,A,Orsolini,BOL,25.0,152.0
p_kean,?,Kean,COM,25.0,185.0
p_kolo_muani,?,Kolo Muani,JUV,24.0,143.0
p_pulisic,A,Pulisic,MIL,23.0,140.0
p_woltemade,A,Woltemade,JUV,23.0,140.0
p_rabiot,C,Rabiot,MIL,22.0,142.0
p_baturina,?,Baturina,COM,21.0,155.0
p_douvikas,?,Douvikas,COM,21.0,180.0
p_yildiz,A,Yildiz,JUV,21.0,80.0
p_mora,?,Mora,ROM,20.0,100.0
p_scamacca,?,Scamacca,ATA,19.0,100.0
p_berardi,A,Berardi,SAS,19.0,108.0
p_davis_k,?,Davis K.,UDI,19.0,113.0
p_krstovic,?,Krstovic,ATA,18.0,96.0
p_da_cunha,C,Da Cunha,COM,18.0,85.0
p_leao*,A,Leao*,MIL,18.0,75.0
p_svilar,P,Svilar,ROM,18.0,83.0
p_wesley,?,Wesley,ROM,18.0,95.0
p_molina_n,?,Molina N.,ROM,18.0,71.0
p_carnesecchi,P,Carnesecchi,ATA,17.0,57.0
p_de_ketelaere,A,De Ketelaere,ATA,17.0,92.0
p_martinez_jo,P,Martinez Jo.,INT,17.0,68.0
p_barella,C,Barella,INT,17.0,81.0
p_esposito_fp,?,Esposito F.P.,INT,17.0,105.0
p_de_bruyne,?,De Bruyne,NAP,17.0,103.0
p_zaniolo,A,Zaniolo,UDI,17.0,75.0
p_dovbyk,?,Dovbyk,BOL,16.0,50.0
p_bremer,D,Bremer,JUV,16.0,60.0
p_mckennie,C,McKennie,JUV,16.0,70.0
p_zaccagni,A,Zaccagni,LAZ,16.0,92.0
p_dybala,A,Dybala,ROM,16.0,110.0
p_vicario,P,Vicario,JUV,16.0,69.0
p_butez,P,Butez,COM,15.0,50.0
p_atta,C,Atta,FIO,15.0,72.0
p_akanji,D,Akanji,INT,15.0,45.0
p_maignan,P,Maignan,MIL,15.0,52.0
p_mancini,D,Mancini,ROM,15.0,50.0
p_soulè,A,Soulè,ROM,15.0,54.0
p_laurientè,A,Laurientè,SAS,15.0,80.0
p_diao,A,Diao,COM,14.0,70.0
p_bastoni,D,Bastoni,INT,14.0,42.0
p_kalulu,D,Kalulu,JUV,14.0,47.0
p_pavlovic,D,Pavlovic,MIL,14.0,47.0
p_rrahmani,D,Rrahmani,NAP,14.0,50.0
p_santos_a,A,Santos A.,NAP,14.0,58.0
p_pellegrino_m,?,Pellegrino M.,FIO,14.0,50.0
p_castro_s,?,Castro S.,ROM,14.0,70.0
p_simeone,?,Simeone,TOR,14.0,74.0
p_beto,?,Beto,FIO,14.0,47.0
p_ederson_ds,C,Ederson D.S.,ATA,13.0,50.0
p_samardzic,C,Samardzic,ATA,13.0,43.0
