nome,squadra,pv,mv,fm
Malen,ROM,3.0,7.5,12.33
Raimondo,FRO,3.0,7.0,10.83
Frattesi,LAZ,3.0,7.17,10.17
Varela G.,MON,2.0,7.0,10.0
Sagrado,VEN,1.0,7.0,10.0
Robinson J.,MON,1.0,7.0,10.0
Odenthal,SAS,1.0,7.0,10.0
Gatti,JUV,1.0,7.0,9.5
Soulè,ROM,3.0,6.83,9.17
Diao,COM,3.0,6.67,9.0
Kamara H.,UDI,3.0,6.83,8.83
Koopmeiners,JUV,2.0,6.75,8.75
Dybala,ROM,3.0,7.33,8.67
Adams C.,TOR,3.0,6.67,8.67
Baturina,COM,3.0,6.67,8.5
Calhanoglu,INT,3.0,6.67,8.5
Hojlund,NAP,3.0,6.5,8.5
Gonzalez N.,JUV,2.0,7.0,8.5
Douvikas,COM,3.0,6.33,8.33
Cissè A.,MIL,3.0,6.5,8.33
Vergara,NAP,2.0,6.5,8.25
Berardi,SAS,2.0,6.75,8.25
Kvernadze,FRO,3.0,6.83,8.17
Esposito F.P.,INT,3.0,6.67,8.0
Martinez L.,INT,3.0,6.33,8.0
De Bruyne,NAP,3.0,6.67,8.0
Pisilli,ROM,2.0,6.5,8.0
Ekkelenkamp,UDI,3.0,6.5,7.83
Raspadori,ATA,2.0,6.25,7.75
Thuram,INT,2.0,6.25,7.75
Bracaglia,FRO,3.0,6.5,7.67
Bisseck,INT,3.0,6.67,7.67
Zielinski,INT,3.0,6.67,7.67
Bremer,JUV,3.0,6.67,7.67
Adzic,SAS,3.0,6.33,7.67
Romano,CAG,3.0,6.5,7.5
Carlos Augusto,INT,1.0,6.5,7.5
Diouf,INT,2.0,6.5,7.5
Gorter,LEC,2.0,6.0,7.5
Rabiot,MIL,3.0,6.17,7.5
Hermoso,ROM,3.0,6.67,7.5
Volpato,SAS,3.0,6.67,7.5
Karlstrom,UDI,3.0,6.67,7.5
Piotrowski,UDI,2.0,6.25,7.5
Yeboah J.,VEN,3.0,6.5,7.5
Lontani,PAR,3.0,6.5,7.5
Mora,ROM,3.0,6.5,7.5
Osmajic,GEN,2.0,6.0,7.5
Belghali,TOR,1.0,6.5,7.5
Samardzic,ATA,3.0,6.33,7.33
Chukwueze,MIL,3.0,6.67,7.33
