nome,squadra,pv,mv,fm
De Luca,CRE,1.0,7.0,10.0
Malen,ROM,18.0,6.78,9.03
Martinez L.,INT,30.0,6.42,8.25
Thuram,INT,29.0,6.4,7.91
Dimarco,INT,35.0,6.64,7.69
Calhanoglu,INT,22.0,6.43,7.55
Scamacca,ATA,23.0,6.2,7.5
Lukaku,NAP,2.0,6.25,7.5
Belotti,CAG,4.0,6.0,7.5
Hojlund,NAP,33.0,6.21,7.44
Douvikas,COM,36.0,6.19,7.39
Yildiz,JUV,35.0,6.46,7.37
Paz N.,COM,35.0,6.41,7.34
Davis K.,UDI,30.0,6.23,7.28
Santos A.,NAP,13.0,6.38,7.27
De Bruyne,NAP,18.0,6.33,7.25
Simeone,TOR,32.0,6.22,7.23
McTominay,NAP,33.0,6.35,7.21
Vlahovic,JUV,18.0,6.03,7.19
Baturina,COM,25.0,6.34,7.18
Krstovic,ATA,32.0,6.12,7.16
Boga,JUV,13.0,6.15,7.12
Kostic,JUV,10.0,6.1,7.1
Berardi,SAS,26.0,6.21,7.1
Esposito F.P.,INT,32.0,6.27,7.0
Berisha M.,LEC,12.0,6.25,7.0
Elphege,PAR,8.0,6.12,7.0
Bonazzoli,CRE,35.0,6.13,6.99
Rabiot,MIL,29.0,6.33,6.98
Da Cunha,COM,35.0,6.39,6.96
Pulisic,MIL,29.0,6.07,6.93
Zielinski,INT,31.0,6.35,6.89
Adzic,JUV,4.0,6.12,6.88
Laurientè,SAS,37.0,6.11,6.86
Atta,UDI,32.0,6.34,6.86
Zambo Anguissa,NAP,18.0,6.14,6.83
Nkunku,MIL,26.0,5.9,6.83
Orsolini,BOL,34.0,6.1,6.81
Esposito Se.,CAG,36.0,6.19,6.81
Neres,NAP,16.0,6.16,6.81
Soulè,ROM,32.0,6.11,6.81
Leao,MIL,28.0,5.8,6.79
Bremer,JUV,26.0,6.29,6.77
Raspadori,ATA,13.0,6.0,6.77
Zaniolo,UDI,31.0,6.24,6.76
Kean,FIO,26.0,5.87,6.75
Bonny,INT,28.0,6.09,6.75
Dovbyk,ROM,12.0,5.92,6.75
Ferguson E.,ROM,14.0,6.0,6.75
Castellanos,LAZ,11.0,6.0,6.73
Barella,INT,34.0,6.29,6.72
McKennie,JUV,34.0,6.18,6.72
Pedro,LAZ,23.0,6.07,6.72
Adams C.,TOR,32.0,6.06,6.72
Modric,MIL,33.0,6.5,6.71
Bowie,VER,14.0,5.89,6.71
Rodriguez Je.,COM,28.0,6.29,6.7
Vlasic,TOR,37.0,6.07,6.7
Dybala,ROM,21.0,6.21,6.69
Kilicsoy,CAG,17.0,5.97,6.68
Messias,GEN,19.0,6.16,6.66
Pavlovic,MIL,34.0,6.28,6.66
Conceicao,JUV,31.0,6.24,6.65
Pinamonti,SAS,35.0,5.93,6.64
Castro S.,BOL,35.0,6.04,6.63
Bisseck,INT,23.0,6.2,6.63
Konè I.,SAS,35.0,6.19,6.63
Bravo,UDI,4.0,6.0,6.62
Mendy P.,CAG,8.0,5.94,6.62
Odgaard,BOL,22.0,5.91,6.61
Strefezza,PAR,14.0,6.14,6.61
Thorstvedt,SAS,31.0,6.27,6.61
Bernardeschi,BOL,25.0,6.08,6.58
Addai,COM,12.0,6.0,6.58
Pellegrini Lo.,ROM,24.0,6.04,6.58
Mancini,ROM,36.0,6.31,6.57
Perrone,COM,36.0,6.31,6.56
Mandragora,FIO,34.0,5.99,6.56
